what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744354250
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744355184
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744356134
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744357048
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744358015
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744359550
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744530404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303744570028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303744571739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303744581663
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303744584571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303744590968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303744592495
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744597620
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1303744672049
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303744674655
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303744921011
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303745108348
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303745110605
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303745123711
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303745354068
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303745364029
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303745414322
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303745447778
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303745466123
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303745818533
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303747339205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303747436987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303747437927
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.moveLineDown",1303747439602
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303747441528
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303747629257
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303747632996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303747637011
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303747656825
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303747700190
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303747701837
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303747715783
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303748460011
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748484967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748488970
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303748492979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748505544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748511359
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303748518376
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303748528381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748535053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748542685
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303748547123
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303748555175
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748557331
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748562302
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303748574766
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748576681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748582406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1303748597287
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1303748604143
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303748620303
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303748620841
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303748732276
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303748816525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748817220
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303748819693
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303748831243
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1303748924405
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303748926230
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303748935290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303748938903
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303748939708
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303748941053
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303748962672
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303748989928
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303749005060
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1303749035805
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303749037713
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749256981
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749257544
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749257913
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749258354
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749258852
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749259224
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749259577
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1303749259968
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303749641589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303749882790
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303750160154
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1303750162308
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303750162417
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303750188439
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303750337958
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303750452866
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1303750479536
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303750574690
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303750662445
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303750729951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303751728534
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303755830788
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303755849889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303755857248
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1303755894793
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303755894935
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1303755909414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303756011269
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1303756037710
